GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.fulfillments.domains.usecases,FulfilmentService,104,0,6,0,30,0,5,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions,InvalidWarehouseStockException,4,0,0,0,2,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions,LocationNotFoundException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions,WarehouseAlreadyArchivedException,4,0,0,0,2,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions,WarehouseCapacityExceededException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions,WarehouseNotFoundException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions,WareHouseAlreadyExistException,4,0,0,0,2,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.stores.listeners,StoreUpdatedListener,8,0,0,0,3,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores.listeners,StoreCreatedListener,8,0,0,0,3,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores.listeners,StoreDeletedListener,8,0,0,0,3,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,Fulfillment,15,0,0,0,6,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,81,91,13,7,2,26,12,16,2,16
java-code-assignment,com.fulfilment.application.monolith.fulfillments.adapters.database,DbFulfilmentAssignment,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.fulfillments.adapters.database,FulfilmentAssignmentRepository,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,39,0,0,0,11,0,3,0,3,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,121,0,0,0,35,0,3,0,3,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,84,0,0,0,28,0,3,0,3,0
java-code-assignment,com.fulfilment.application.monolith.fulfillments.domains.models,FulfilmentRequest,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillments.adapters.rest,FulfilmentResource,0,16,0,0,0,3,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions.mapper,ApiError,0,18,0,0,0,7,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.exceptions.mapper,GlobalExceptionMapper,38,109,5,17,10,34,5,10,0,4
java-code-assignment,com.warehouse.api.beans,Warehouse,0,38,0,0,0,16,0,11,0,11
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.usecases,AssociateWarehouseUseCase,187,0,20,0,31,0,14,0,4,0
java-code-assignment,com.fulfilment.application.monolith.fulfillments.exceptions,WarehouseProductLimitExceededException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillments.exceptions,StoreFulfilmentLimitExceededException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillments.exceptions,ProductFulfilmentLimitExceededException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.products,Product,9,0,0,0,4,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,119,0,10,0,27,0,12,0,7,0
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,95,0,0,0,16,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,100,0,0,0,27,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,161,0,8,0,35,0,13,0,9,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,149,0,18,0,38,0,17,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,63,0,0,0,20,0,5,0,5,0
java-code-assignment,com.fulfilment.application.monolith.stores,Store,9,0,0,0,4,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,196,0,8,0,53,0,13,0,9,0
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,FulfillmentResource.AssociationRequest,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,FulfillmentResource,33,0,0,0,9,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.utils,WarehousesValidator,41,87,5,11,13,28,5,13,0,10
